Fib_number,Fib_value,Time_spent
1,1,0.000002
2,1,0.000001
4,3,0.000000
8,21,0.000001
16,987,0.000001
32,15621,0.000001
64,8379,0.000002
128,-54587,0.000000
256,11323,0.000002
512,-32315,0.000001
1024,-9669,0.000002
2048,-8763,0.000001
4096,37435,0.000002
8192,19909,0.000001
16384,-36293,0.000001
32768,3525,0.000002
65536,-3525,0.000001
131072,3525,0.000001
262144,-3525,0.000002
524288,3525,0.000001
1048576,-3525,0.000002
2097152,3525,0.000002
4194304,-3525,0.000002
8388608,3525,0.000003
16777216,-3525,0.000001
33554432,3525,0.000002
67108864,-3525,0.000002
134217728,3525,0.000002
268435456,-3525,0.000002
536870912,3525,0.000003
1073741824,-3525,0.000002
2147483647,63773,0.000004
