Fib_number,Fib_value,Time_spent
0,0,0.000001
1,1,0.000000
2,1,0.000001
3,2,0.000000
4,3,0.000000
5,5,0.000001
6,8,0.000000
7,13,0.000001
8,21,0.000001
9,34,0.000001
10,55,0.000001
11,89,0.000002
12,144,0.000001
13,233,0.000003
14,377,0.000006
15,610,0.000008
16,987,0.000013
17,1597,0.000018
18,2584,0.000030
19,4181,0.000058
20,6765,0.000079
21,10946,0.000093
22,17711,0.000149
23,28657,0.000293
24,46368,0.000523
25,75025,0.000703
26,121393,0.001234
27,196418,0.001764
28,317811,0.003182
29,514229,0.005464
30,832040,0.007157
31,1346269,0.012964
32,2178309,0.020736
33,3524578,0.030430
34,5702887,0.056789
35,9227465,0.083919
36,14930352,0.157404
37,24157817,0.224239
38,39088169,0.345706
39,63245986,0.561924
40,102334155,0.896036
41,165580141,1.435247
42,267914296,2.333187
43,433494437,3.778515
44,701408733,6.142271
45,1134903170,10.046402
46,1836311903,15.722396
