Fib_number,Fib_value,Time_spent
0,0,0.000002
1,1,0.000001
2,1,0.000000
3,2,0.000002
4,3,0.000000
5,5,0.000001
6,8,0.000001
7,13,0.000000
8,21,0.000000
9,34,0.000000
10,55,0.000001
11,89,0.000001
12,144,0.000000
13,233,0.000001
14,377,0.000001
15,610,0.000000
16,987,0.000000
17,1597,0.000000
18,2584,0.000000
19,4181,0.000000
20,6765,0.000001
21,10946,0.000000
22,17711,0.000000
23,28657,0.000000
24,46368,0.000000
25,75025,0.000002
26,121393,0.000000
27,196418,0.000000
28,317811,0.000000
29,514229,0.000001
30,832040,0.000001
31,1346269,0.000000
32,2178309,0.000001
33,3524578,0.000000
34,5702887,0.000000
35,9227465,0.000001
36,14930352,0.000000
37,24157817,0.000001
38,39088169,0.000000
39,63245986,0.000000
40,102334155,0.000000
41,165580141,0.000000
42,267914296,0.000001
43,433494437,0.000000
44,701408733,0.000000
45,1134903170,0.000001
46,1836311903,0.000000
