Fib_number,Fib_value,Time_spent
1,1,0.000002
2,1,0.000000
4,3,0.000002
8,21,0.000000
16,987,0.000001
32,15621,0.000000
64,8379,0.000002
128,10949,0.000001
256,11323,0.000002
512,33221,0.000007
1024,55867,0.000010
2048,56773,0.000025
4096,37435,0.000045
8192,19909,0.000083
16384,29243,0.000167
32768,3525,0.000332
65536,62011,0.000653
131072,3525,0.001273
262144,62011,0.002572
524288,3525,0.005177
1048576,62011,0.010233
2097152,3525,0.019829
4194304,62011,0.043678
8388608,3525,0.081717
16777216,62011,0.173308
33554432,3525,0.343654
67108864,62011,0.684332
134217728,3525,1.349475
268435456,62011,2.692607
536870912,3525,5.371864
1073741824,62011,10.811833
2147483647,63773,21.173884
