Fib_number,Fib_value,Time_spent
0,0,0.000001
1,1,0.000002
2,1,0.000000
3,2,0.000000
4,3,0.000000
5,5,0.000000
6,8,0.000000
7,13,0.000001
8,21,0.000000
9,34,0.000000
10,55,0.000001
11,89,0.000002
12,144,0.000003
13,233,0.000005
14,377,0.000007
15,610,0.000017
16,987,0.000021
17,1597,0.000030
18,2584,0.000051
19,4181,0.000079
20,6765,0.000129
21,10946,0.000244
22,17711,0.000373
23,28657,0.000764
24,46368,0.000980
25,9489,0.001590
26,55857,0.002443
27,65346,0.003855
28,55667,0.004537
29,55477,0.008008
30,45608,0.011665
31,35549,0.019048
32,15621,0.032434
33,51170,0.056238
34,1255,0.091117
35,52425,0.135288
36,53680,0.213685
37,40569,0.352448
38,28713,0.557152
39,3746,0.906250
40,32459,1.540454
41,36205,2.406949
42,3128,3.875316
43,39333,6.198324
44,42461,9.929272
45,16258,16.141758
46,58719,25.479510
47,9441,41.195133
48,2624,67.427821
49,12065,109.649214
50,14689,177.393501
51,26754,277.243399
52,41443,510.169383
