Fib_number,Fib_value,Time_spent
1,1,0.000001
2,1,0.000001
4,3,0.000001
8,21,0.000000
16,987,0.000000
32,15621,0.000002
64,8379,0.000000
128,10949,0.000002
256,11323,0.000001
512,33221,0.000001
1024,55867,0.000001
2048,56773,0.000000
4096,37435,0.000002
8192,19909,0.000001
16384,29243,0.000002
32768,3525,0.000001
65536,62011,0.000001
131072,3525,0.000001
262144,62011,0.000002
524288,3525,0.000003
1048576,62011,0.000001
2097152,3525,0.000001
4194304,62011,0.000003
8388608,3525,0.000001
16777216,62011,0.000001
33554432,3525,0.000002
67108864,62011,0.000003
134217728,3525,0.000001
268435456,62011,0.000002
536870912,3525,0.000005
1073741824,62011,0.000003
2147483647,63773,0.000004
